author	i	the	a	to	and	of	you	it	my	she	me	was	in.	s	that	her	t	he	on	we	for.	with	amy	is	but	like	tx	be	at	said	so	nick	this	have	his	what	not	as	d	just	had	all	they	up	out	go	know	if.	do	about	can	from	one	are	an	then	m	don	were	would	when	your	no	him	our	back	who	get	how	because	wife	into	or	now	been	want	say	there	think	could	right	re	over	by	didn	us	some	down	good	will	time	ve	never	them	here	did	ll	even
amy	4.646545	3.931692	2.422558	2.700556	2.819698	1.7871326	0.71485306	0.7148531	1.1914218	0.4765687	1.2311358	0.8737093	1.1914218	0.8737093	1.7474186	0.99285147	0.7148531	1.1517077	0.5957109	0.1588562	0.9531374	0.8339952	0.63542494	0.4368546	0.4368546	0.7545671	0.4765687	0.675139	0.2779984	0	0.4368546	0.63542494	0.5957109	0.5957109	0.5162828	0.19857029	0.23828435	0.3177125	0.4765687	0.3177125	0.19857029	0.31771247	0.55599682	0.27799841	0.3177125	0.11914218	0.27799841	0.15885624	0.3177125	0.03971406	0.19857029	0.2382844	0.31771247	0.15885624	0.23828435	0.31771247	0.23828435	0.23828435	0.11914218	0.4765687	0.15885624	0.15885624	0.43685465	0.59571088	0	0.11914218	0.31771247	0.19857029	0.55599682	0.39714059	0.11914218	0.15885624	0.19857029	0.11914218	0.27799841	0.07942812	0.15885624	0.23828435	0.31771247	0.27799841	0.07942812	0.15885624	0.19857029	0.07942812	0.07942812	0	0.23828435	0.1191422	0.03971406	0.15885624	0.19857029	0.4765687	0.4765687	0.23828435	0.03971406	0.07942812	0.07942812	0.07942812
amy	4.05311	4.297694	3.074773	2.760307	2.30608	1.5373864	0.34940601	0.8036338	1.4675052	0.8385744	0.698812	0.1397624	1.2928022	1.222921	0.9433962	0.73375262	0.7686932	1.22292103	0.7337526	0.2096436	0.8036338	0.6289308	0.27952481	1.222921	0.698812	0.4542278	0.4192872	0.4891684	0.2795248	0.0349406	0.2445842	0.87351502	0.2795248	0.8036338	0.6289308	0.20964361	0.52410901	0.6289308	0.31446541	0.3144654	0.1397624	0.38434661	0.31446541	0.34940601	0.2795248	0.1048218	0.41928721	0.34940601	0.2795248	0.41928721	0.34940601	0.4891684	0.34940601	0.174703	0.20964361	0.20964361	0.45422781	0.27952481	0	0.24458421	0.31446541	0.1048218	0.34940601	0.38434661	0.1397624	0.0698812	0.20964361	0.20964361	0.20964361	0.1048218	0.0349406	0.24458421	0.24458421	0.27952481	0.34940601	0.0349406	0.0349406	0.24458421	0.1397624	0.0698812	0.1048218	0.1048218	0.1397624	0.1397624	0.0349406	0	0.20964361	0.1048218	0.20964361	0.34940601	0.1048218	0.1397624	0.1397624	0.1048218	0.0698812	0.0698812	0.0698812	0.1397624
amy	4.719101	4.622793	1.958266	2.215088	2.82504	1.5088283	1.44462279	1.3483146	1.9903692	0.7383628	1.3483146	0.5457464	1.1235955	0.9309791	0.8025682	0.8988764	0.9309791	1.34831461	0.8667737	0.3210273	0.4815409	0.4494382	0.28892456	1.2841091	0.4494382	0.4815409	0.3852327	0.4173355	0.4173355	0.06420546	0.5457464	0.4494382	0.4494382	0.4815409	0.5457464	0.64205457	0.38523274	0.1605136	0.09630819	0.35313	0.12841091	0.38523274	0.51364366	0.57784912	0.3210273	0.35313002	0.35313002	0.35313002	0.1926164	0.38523274	0.32102729	0.2247191	0.32102729	0.41733547	0.12841091	0.32102729	0.35313002	0.41733547	0.03210273	0.12841091	0.2247191	0.19261637	0.28892456	0.19261637	0.03210273	0.28892456	0.19261637	0.2247191	0.35313002	0.25682183	0.16051364	0.28892456	0.41733547	0.2247191	0.25682183	0.09630819	0.2247191	0.25682183	0.2247191	0.16051364	0.25682183	0.25682183	0.25682183	0.16051364	0.12841091	0.16051364	0.03210273	0.1926164	0.06420546	0.38523274	0.19261637	0.19261637	0.2247191	0.16051364	0.09630819	0.03210273	0.35313002	0.12841091
amy	4.099561	4.245974	2.855051	1.610542	2.781845	1.5373353	0.07320644	1.7569546	1.0980966	0	0.8052709	0.1464129	1.0248902	1.0248902	0.8784773	0.07320644	0.5856515	0.5124451	1.1713031	2.1229868	0.4392387	1.0248902	0.21961933	0.9516837	0.2196193	0.5856515	0.8784773	0.4392387	0.2928258	0.07320644	0.3660322	0.87847731	0.3660322	0.8052709	0.8052709	0.29282577	0.29282577	0.5124451	0.07320644	0.2928258	0.14641288	0.29282577	0.14641288	0.07320644	0.4392387	0.21961933	0.07320644	0.36603221	0.1464129	0.43923865	0.29282577	0.2928258	0.14641288	0.43923865	0.21961933	0.14641288	0.21961933	0.21961933	0.07320644	0.14641288	0.07320644	0	0	0.58565154	0.73206442	0.29282577	0.14641288	0.21961933	0.21961933	0.21961933	0.29282577	0.07320644	0.36603221	0.07320644	0.29282577	0	0.21961933	0.14641288	0	0.07320644	0.14641288	0.07320644	0.29282577	0	0	0.80527086	0	0.1464129	0.14641288	0.58565154	0	0.07320644	0.14641288	0.21961933	0	0	0.5124451	0.21961933
amy	4.061625	4.131653	3.151261	2.310924	3.361345	1.4005602	2.06582633	1.4705882	1.1204482	0.140056	1.2254902	1.1204482	1.3305322	1.2605042	1.2955182	0.17507003	0.8403361	1.64565826	0.6652661	0.7352941	0.4901961	0.6652661	0.24509804	0.5952381	0.3501401	0.6652661	0.4201681	0.280112	0.3501401	0.03501401	1.0504202	0.66526611	0.3851541	0.5952381	0.4901961	0.52521008	0.38515406	0.280112	0.35014006	0.280112	0.28011204	0.28011204	0.31512605	0.42016807	0.280112	0.24509804	0.14005602	0.31512605	0.315126	0.17507003	0.45518207	0.4201681	0.10504202	0.31512605	0.28011204	0.38515406	0.38515406	0.14005602	0.21008403	0.24509804	0.38515406	0.42016807	0.17507003	0.42016807	0.24509804	0.28011204	0.21008403	0.52521008	0.10504202	0.14005602	0.03501401	0.21008403	0.28011204	0.14005602	0.45518207	0.21008403	0.03501401	0.31512605	0.35014006	0.03501401	0.14005602	0.21008403	0.17507003	0.17507003	0.24509804	0.07002801	0.28011204	0.140056	0.17507003	0.07002801	0.24509804	0.28011204	0.07002801	0.17507003	0.07002801	0.5952381	0.07002801	0
amy	4.744852	4.655327	1.79051	2.685765	3.312444	1.2533572	0.53715309	1.4324082	1.2533572	0.4476276	1.7009848	0.6266786	1.6114593	0.8057296	0.9847807	0.17905103	1.1638317	1.70098478	0.7162041	0.8952551	0.9847807	0.8057296	0.35810206	0.5371531	1.2533572	0.5371531	1.0743062	0.6266786	0	0.26857654	0.4476276	1.07430618	0.3581021	1.2533572	0.2685765	0	0.26857654	0.5371531	0.08952551	0.179051	0.17905103	0.26857654	1.34288272	0.26857654	0	0	0.98478066	0.26857654	0.3581021	0.26857654	0.26857654	0.2685765	0.26857654	0.53715309	0.26857654	0	0	0.17905103	0.26857654	0.08952551	0.26857654	0	0.17905103	1.16383169	0.26857654	0.26857654	0.08952551	0.35810206	0.08952551	0.08952551	0	0	0.17905103	0.44762757	0	0.17905103	0.08952551	0	0.08952551	0	0.08952551	0.17905103	0.17905103	0.08952551	0.35810206	0.08952551	0.26857654	0.2685765	0.17905103	1.16383169	0.26857654	0.26857654	0	0.08952551	0	0.08952551	0.26857654	0.08952551
amy	2.385496	3.435115	2.480916	1.812977	3.816794	1.4312977	1.04961832	0.5725191	0.3816794	0.3816794	0.9541985	0.2862595	0.8587786	0.7633588	0.9541985	0.38167939	0.8587786	1.04961832	0.3816794	1.5267176	0.9541985	0.8587786	0.09541985	0.9541985	0.2862595	0.1908397	1.1450382	0.3816794	0.8587786	0	0.8587786	0.57251908	0.2862595	0.2862595	0.9541985	0.1908397	0.38167939	0.5725191	0	0.4770992	0.09541985	0.57251908	0.1908397	0.76335878	0.6679389	0.09541985	0.1908397	0.1908397	0.4770992	0.47709924	0.47709924	0.4770992	0.1908397	1.04961832	0.09541985	0.28625954	0.09541985	0.47709924	0.09541985	0.09541985	0.28625954	0.09541985	0.38167939	0.95419847	0.76335878	0.09541985	0.66793893	0.28625954	0.1908397	0.09541985	0.28625954	0.28625954	0.28625954	0.1908397	0	0	0.38167939	0.1908397	0.09541985	0.09541985	0	0.09541985	0	0.38167939	0	0.47709924	0.38167939	0.2862595	0.1908397	0.1908397	0.09541985	0.09541985	0.1908397	0	0.09541985	0.09541985	0.28625954	0.09541985
amy	4.464739	4.21106	2.435312	2.638255	2.333841	1.7250127	0.65956367	1.2683917	1.217656	0.2536783	1.674277	0.5073567	0.913242	1.217656	1.6235413	0.152207	0.8117707	1.52207001	0.7102993	1.4205987	0.5580923	0.608828	0.25367834	1.3191273	0.5580923	0.8117707	0.608828	0.7102993	0.6595637	0.05073567	0.304414	0.81177067	0.304414	0.7102993	0.8117707	0.45662101	0.40588534	0.3551497	0.152207	0.4058853	0.05073567	0.05073567	0.152207	0.304414	0.3551497	0.45662101	0.152207	0.76103501	0.3551497	0.20294267	0.304414	0.456621	0.25367834	0.50735667	0.05073567	0.25367834	0.304414	0.25367834	0.152207	0.152207	0.304414	0.05073567	0.20294267	0.35514967	0.65956367	0.25367834	0.10147133	0.05073567	0.05073567	0.25367834	0.05073567	0.152207	0.304414	0.304414	0.05073567	0.25367834	0.40588534	0.152207	0.20294267	0.05073567	0.304414	0.10147133	0.20294267	0.40588534	0.05073567	0.20294267	0.152207	0.4058853	0.20294267	0.45662101	0	0.20294267	0.152207	0.05073567	0.05073567	0.05073567	0.45662101	0.35514967
amy	4.824203	3.270646	2.371218	2.289452	2.698283	1.7170891	0.3270646	1.5535568	1.7170891	0.2452984	0.9811938	0.4088307	0.7358953	0.9811938	1.2264922	0.3270646	1.2264922	1.96238757	1.3900245	0.1635323	0.8176615	0.7358953	0.3270646	0.8994276	0.572363	0.4088307	0.9811938	0.4905969	0.2452984	0.40883074	0.6541292	1.47179068	0.2452984	0.4088307	1.635323	0.40883074	0.49059689	0.7358953	0.08176615	0.6541292	0.08176615	0.3270646	0.24529845	0	0.2452984	0	0.49059689	0.08176615	0.9811938	0.65412919	0.08176615	0.3270646	0.08176615	0.08176615	0.1635323	0.1635323	0.3270646	0.49059689	0.24529845	0.08176615	0.49059689	0	0.1635323	0.81766149	0	0.24529845	0.49059689	0.08176615	0.1635323	0.40883074	0.24529845	0.24529845	0.08176615	0	0	0.08176615	0.08176615	0	0.1635323	0.08176615	0	0	0.08176615	0	0	0	0.1635323	0.3270646	0.1635323	0.3270646	0.24529845	0	0.08176615	0.08176615	0.24529845	0.08176615	0	0.24529845
amy	4.502046	3.342428	2.796726	2.592087	2.387449	1.3642565	1.63710778	1.0231924	0.8867667	1.0231924	0.8867667	0.5457026	0.9549795	0.8185539	0.6139154	0.81855389	1.3642565	1.29604366	0.8185539	0.6139154	0.6821282	0.9549795	0.06821282	1.0231924	0.6821282	0.4774898	0.8185539	0.6821282	0.4092769	0.06821282	0.5457026	0.2728513	0.2728513	0.5457026	0.6139154	0.06821282	0.2728513	0.3410641	0.20463847	0.3410641	0.06821282	0.61391542	0.61391542	0.47748977	0.4774898	0.34106412	0.20463847	0.20463847	0.4092769	0.20463847	0.81855389	0.2046385	0.20463847	0.40927694	0.20463847	0.06821282	0.40927694	0.34106412	0.06821282	0	0.34106412	0.34106412	0.20463847	0.2728513	0.06821282	0.06821282	0.13642565	0.47748977	0.40927694	0.13642565	0.06821282	0.20463847	0	0	0.20463847	0.20463847	0.2728513	0.13642565	0.2728513	0.13642565	0	0.20463847	0.06821282	0.06821282	0	0.06821282	0.20463847	0.2046385	0.34106412	0	0.2728513	0.34106412	0.13642565	0	0.06821282	0.06821282	0.40927694	0.2728513
